ALIMENTO (premi QUI e poi premi CTRL+MAIUSC+T per cercare un alimento);Parte edibile (g);Energia Kcal;Energia KJ;Acqua (g);Prot tot (g);Prot anim;Prot veg;Glucidi tot;Amido;Glucidi solub;Lipidi tot;Saturi tot;Monoins tot;Polins tot;Ac. oleico;Ac. linoleico;Ac. linolenico;altri Polins;Colest;Fibre alim;alcool;Ferro;Ca;Na;K;P;Zn;Vit B1;Vit B2;Vit B3;Vit C;Vit B6;Folico;Retinolo eq;Beta carotene eq;Vit E;Vit D
POLLO, ALI;66;193;808;67;20,3;20;0;0;0;0;12,4;4,09;5,6;1,88;4,68;1,56;0,09;0;89;0;0;0,6;6;60;320;180;0,8;0,12;0,22;8,3;0;0,38;11;17;2;0,14;0
POLLO, COSCIA;80;130;544;74,2;17,9;17;0;0;0;0;6,5;2,16;2,92;0,98;2,45;0,83;0,04;0;88;0;0;2;18;89;300;192;1,4;0,08;0,2;4,7;3;0,23;8;10;2;0,17;0
POLLO, FEGATINI;100;122;510;74;20,5;20;0;2;0;0;4,5;1,4;0,99;0,91;0,88;0,49;0,02;0;555;0;0;4,5;14;76;260;220;3,7;0,16;1,36;8,2;12;0,82;995;1087;815;1,17;0
POLLO, PETTO;100;97;406;75,3;22,2;22;0;0;0;0;0,9;0,25;0,4;0,17;0,35;0,14;0,02;0;67;0;0;1,6;19;72;330;200;0,7;0,06;0,12;13;0;0,51;14;0;0;0,13;0
POLLO, REGAGLIE;100;196;820;67;13,9;13;0;0,1;0;0,1;15,6;4,75;3,91;3,8;3,32;2,62;0,1;1;292;0;0;3;14;82;250;230;2,8;0,25;0,36;4,6;12;0,29;530;5500;2;0,71;0
POLPO [OCTOPUS VULGARIS];90;57;238;82;10,6;10;0;1,4;0;2;1;0,23;0,16;0,24;0,06;0,01;0;0;140;0;0;0;144;230;350;189;1,7;0,03;0,04;2,1;0;0,36;16;25;2;1,2;2
POLPO SURGELATO;100;51;213;83;12,4;12;0;2;0;2;0,2;0,05;0,03;0,05;0,01;2;0;0;140;0;0;0;144;230;350;189;1,7;0,03;0,04;2,1;0;0,36;16;25;2;1,2;2
POMODORI DA INSALATA [SOLANUM LYCOPERSICUM];100;17;71;94,2;1,2;0;1,2;2,8;0;2,8;0,2;0,03;0,03;0,08;0,03;0,08;2;0;0;1,1;0;0,4;11;3;290;26;0,2;0,03;0,03;0,7;21;0,12;14;42;252;1,03;0
POMODORI MATURI [SOLANUM LYCOPERSICUM];100;19;79;94;1;0;1;3,5;0;3,5;0,2;0,03;0,03;0,08;0,03;0,08;2;0;0;0,9;0;0,3;9;6;297;25;0,2;0,02;2;0,8;25;0,12;15;135;810;1,06;0
POMODORI SECCHI;100;258;1079;14,6;14,1;0;14,1;43,5;0;43,5;3;0,43;0,49;1,12;0,48;1,1;0,01;0;0;12,3;0;9,1;110;2;3;356;2;0,53;0,49;9,1;39;0,33;68;87;522;0,01;0
POMODORI SOTT'OLIO;100;213;891;53,8;5,1;0;5,1;17,5;0;17,5;14,1;1,89;8,66;2,06;8,53;1,98;0,08;0;0;5,8;0;2,7;47;266;1565;139;0,8;0,19;0,38;3,6;102;0,32;23;129;774;1,93;0
POMODORI, PELATI, IN SCATOLA CON LIQUIDO;100;21;88;94,7;1,2;0;1,2;3;0;3;0,5;0,07;0,08;0,21;0,08;0,2;0,01;0;0;0,9;0;0,2;9;9;230;24;0,3;2;2;0,8;18;0,1;10;80;480;1,08;0
POMODORO, CONCENTRATO (sostanza secca 8%);100;50;209;82;0,9;0;0,9;11,4;0;11,4;0,4;0,06;0,06;0,16;0,06;0,16;0,01;2;0;2,3;0;1;15;3;225;31;0,7;0,07;0,06;0,9;28;0,44;54;1083;6500;5,37;0
POMODORO, CONCENTRATO (sostanza secca 25%);100;71;297;75;4,4;0;4,4;16,4;0;16,4;0,6;0,09;0,09;0,24;0,09;0,23;0,01;2;0;2,5;0;1,6;41;172;213;52;0,8;0,24;0,19;4,1;42;0,44;54;2500;15000;5,37;0
POMODORO, CONSERVA (sostanza secca 30%);100;96;402;70;3,9;0;3,9;20,4;0;20,4;0,4;0,06;0,06;0,16;0,06;0,16;0,01;2;0;2;0;2,2;27;20;250;85;0,7;0,2;0,1;3,1;43;0,44;54;217;1300;5,37;0
POMPELMO [CITRUS PARADISI];70;26;109;91,2;0,6;0;0,6;6,2;0;6,2;0;0;0;0;0;0;0;0;0;1,6;0;0,3;17;1;230;16;0,1;0,05;0,03;0,2;40;0,02;21;2;2;0,15;0
POMPELMO ROSA [CITRUS PARADISI];70;30;126;91,4;0,6;0;0,6;7,7;0;7,7;0,1;0,01;0,01;0,02;0,01;0,02;0,01;0;0;1,6;0;0,1;11;0;129;9;0,1;0,03;0,02;0,2;38;0,04;12;26;156;0,19;0
POP CORN;100;383;1602;4;12,7;0;12,7;76,7;75,1;1,6;5;0,68;1,31;2,26;1,31;2,19;0,07;0;0;2,2;0;2,7;11;4;301;281;3,4;0,2;0,12;2,2;0;0,25;23;3;18;0,12;0
PORRI [ALLIUM PORRUM];77;29;121;87,8;2,1;0;2,1;5,2;0;5,2;0,1;0,01;2;0,05;2;0,02;0,03;0;0;2,9;0;0,8;54;9;310;57;0,2;0,06;0,08;0,5;9;0,64;74;2;2;1,22;0
PORTO;100;157;657;71,1;0,1;0;0,1;12;0;12;0;0;0;0;0;0;0;0;0;0;15;0,4;4;4;97;12;2;2;0,01;0,1;0;0,01;2;2;2;0;0
PREZZEMOLO [PETROSELINUM SATIVUM], fresco;80;20;84;87,2;3,7;0;3,7;2;0;2;0,6;0,1;0,22;0,1;0,22;0,09;0,01;0;0;5,6;0;4,2;220;20;670;75;0,9;0,1;0,21;0,6;162;0,07;129;943;5658;1,29;0
PREZZEMOLO, secco;100;181;757;9;15,8;0;15,8;14,5;2,1;12,4;7;0,18;5,13;0,72;5,13;0,72;0;0;0;44,7;0;41,5;1080;180;4090;340;3,8;0,33;0,32;5,4;120;0,38;180;3625;21750;9,15;0
PROSCIUTTO COTTO;100;215;900;62,2;19,8;19;0;0,9;0;0,9;14,7;5,1;6,05;2,45;5,17;1,89;0,16;0;62;0;0;1,9;17;1734;608;250;6,9;0,4;0,15;3,2;0;0,22;2;2;0;0,08;2
PROSCIUTTO COTTO, AFFUMICATO;100;215;900;62,2;19,8;19;0;0,9;0;0,9;14,7;5,1;6,05;2,45;5,17;1,89;0,16;0;62;0;0;1,9;17;1734;608;250;6,9;0,4;0,15;3,2;0;0,22;2;2;0;0,08;2
PROSCIUTTO COTTO, MAGRO;100;132;552;69,7;22,2;22;0;1;0;1;4,4;1,53;1,81;0,73;1,55;0,57;0,05;0;62;0;0;1,5;14;1390;587;200;6,5;0,52;0,25;2,6;0;0,22;2;2;0;0,05;2
PROSCIUTTO CRUDO;100;370;1548;41,7;22,2;22;0;0;0;0;31,2;10,25;13,93;3,85;12,67;3,1;0,29;0;92;0;0;1,2;20;2378;281;177;5,2;0,91;0,26;5;0;0,62;1;0;0;0,11;0
PROSCIUTTO CRUDO, AFFUMICATO;100;218;912;54,8;28,6;28;0;0;0;0;11,5;3,78;5,13;1,42;4,67;1,14;0,11;0;66;0;0;2,2;23;2733;373;190;5,2;0,58;0,25;6,5;0;0,62;1;0;0;0,11;0
PROSCIUTTO CRUDO, MAGRO;100;218;912;54,8;28,6;28;0;0;0;0;11,5;3,78;5,13;1,42;4,67;1,14;0,11;0;66;0;0;2,2;23;2733;373;190;5,2;0,58;0,25;6,5;0;0,62;1;0;0;0,11;0
